COUNTY,NUMBER
Jongno-gu,102
Jung-gu,85
Yongsan-gu,194
Seongdong-gu,143
Gwangjin-gu,182
Dongdaemun-gu,226
Jungnang-gu,224
Seongbuk-gu,165
Gangbuk-gu,94
Dobong-gu,170
Nowon-gu,292
Eunpyeong-gu,389
Seodaemun-gu,234
Mapo-gu,304
Yangcheon-gu,443
Gangseo-gu,513
Guro-gu,275
Geumcheon-gu,137
Yeongdeungpo-gu,244
Dongjak-gu,213
Gwanak-gu,248
Seocho-gu,628
Gangnam-gu,629
Songpa-gu,379
Gangdong-gu,461
